dec_date,dec_region,dec_total nitrogen,dec_total phosphorus,dec_dissolved phosphorus,dec_chlorophyll-a,dec_secchi depth,dec_temperature
2014-06-25,Main Lake Central,0.3916666666666666,14.85,8.616666666666665,2.2533333333333334,5.533333333333334,17.133333333333333
2014-06-26,Main Lake Central,0.3899999999999999,13.274999999999999,8.1,1.9849999999999999,6.000000000000001,17.0
2014-06-27,Main Lake Central,0.3899999999999999,13.274999999999999,8.1,1.9849999999999999,6.000000000000001,17.0
2014-06-28,Main Lake Central,0.3899999999999999,13.274999999999999,8.1,1.9849999999999999,6.000000000000001,17.0
2014-06-29,Main Lake Central,0.3899999999999999,13.274999999999999,8.1,1.9849999999999999,6.000000000000001,17.0
2014-06-30,Main Lake Central,0.3899999999999999,13.274999999999999,8.1,1.9849999999999999,6.000000000000001,17.0
2014-07-01,Main Lake Central,0.41,12.8,8.6,2.43,5.5,18.4
2014-07-02,Main Lake Central,0.41,12.8,8.6,2.43,5.5,18.4
2014-07-03,Main Lake Central,0.41,12.8,8.6,2.43,5.5,18.4
2014-07-04,Main Lake Central,0.41,12.8,8.6,2.43,5.5,18.4
2014-07-05,Main Lake Central,0.41,12.8,8.6,2.43,5.5,18.4
2014-07-06,Main Lake Central,0.41,12.8,8.6,2.43,5.5,18.4
2014-07-07,Main Lake Central,0.41,12.8,8.6,2.43,5.5,18.4
2014-07-08,Main Lake Central,,,,,,
2014-07-09,Main Lake Central,,,,,,
2014-07-10,Main Lake Central,0.37,11.8,7.5,3.18,3.9,20.2
2014-07-11,Main Lake Central,0.37,11.8,7.5,3.18,3.9,20.2
2014-07-12,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-13,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-14,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-15,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-16,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-17,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-18,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-19,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-20,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-21,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-22,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-23,Main Lake Central,0.38249999999999995,11.25,6.725,3.5250000000000004,4.45,20.25
2014-07-24,Main Lake Central,0.39499999999999996,10.700000000000001,5.949999999999999,3.87,5.0,20.3
2014-07-25,Main Lake Central,0.39499999999999996,10.700000000000001,5.949999999999999,3.87,5.0,20.3
2014-07-26,Main Lake Central,,,,,,
2014-07-27,Main Lake Central,,,,,,
2014-07-28,Main Lake Central,,,,,,
2014-07-29,Main Lake Central,,,,,,
2014-07-30,Main Lake Central,,,,,,
2014-07-31,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-01,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-02,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-03,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-04,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-05,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-06,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-07,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-08,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-09,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-10,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-11,Main Lake Central,0.38,11.3,6.475,2.58,5.6,20.25
2014-08-12,Main Lake Central,0.38,11.375,6.8125,2.2625,6.2749999999999995,21.8
2014-08-13,Main Lake Central,0.38,11.375,6.8125,2.2625,6.2749999999999995,21.8
2014-08-14,Main Lake Central,0.38,11.45,7.15,1.9449999999999998,6.949999999999999,23.35
2014-08-15,Main Lake Central,0.375,12.475,7.275,2.3775,6.225,22.975
2014-08-16,Main Lake Central,0.375,12.475,7.275,2.3775,6.225,22.975
2014-08-17,Main Lake Central,0.375,12.475,7.275,2.3775,6.225,22.975
2014-08-18,Main Lake Central,0.375,12.475,7.275,2.3775,6.225,22.975
2014-08-19,Main Lake Central,0.375,12.475,7.275,2.3775,6.225,22.975
2014-08-20,Main Lake Central,0.375,12.475,7.275,2.3775,6.225,22.975
2014-08-21,Main Lake Central,0.375,12.416666666666666,7.416666666666667,2.7383333333333333,6.316666666666666,22.383333333333336
2014-08-22,Main Lake Central,0.375,12.416666666666666,7.416666666666667,2.7383333333333333,6.316666666666666,22.383333333333336
2014-08-23,Main Lake Central,0.375,12.416666666666666,7.416666666666667,2.7383333333333333,6.316666666666666,22.383333333333336
2014-08-24,Main Lake Central,0.375,12.416666666666666,7.416666666666667,2.7383333333333333,6.316666666666666,22.383333333333336
2014-08-25,Main Lake Central,0.375,12.416666666666666,7.416666666666667,2.7383333333333333,6.316666666666666,22.383333333333336
2014-08-26,Main Lake Central,0.3725,12.9,7.55,3.135,6.0,21.900000000000002
2014-08-27,Main Lake Central,0.3725,12.9,7.55,3.135,6.0,21.900000000000002
2014-08-28,Main Lake Central,0.3725,12.9,7.55,3.135,6.0,21.900000000000002
2014-08-29,Main Lake Central,0.375,12.3,7.7,3.46,6.5,21.2
2014-08-30,Main Lake Central,0.375,12.3,7.7,3.46,6.5,21.2
2014-08-31,Main Lake Central,0.375,12.3,7.7,3.46,6.5,21.2
2014-09-01,Main Lake Central,0.375,12.3,7.7,3.46,6.5,21.2
2014-09-02,Main Lake Central,0.375,12.3,7.7,3.46,6.5,21.2
2014-09-03,Main Lake Central,0.375,12.3,7.7,3.46,6.5,21.2
2014-09-04,Main Lake Central,,,,,,
2014-09-05,Main Lake Central,,,,,,
2014-09-06,Main Lake Central,,,,,,
2014-09-07,Main Lake Central,,,,,,
2014-09-08,Main Lake Central,,,,,,
2014-09-09,Main Lake Central,,,,,,
2014-09-10,Main Lake Central,0.34,12.0,7.1,5.27,5.1,21.4
2014-09-11,Main Lake Central,0.34,12.0,7.1,5.27,5.1,21.4
2014-09-12,Main Lake Central,0.34,12.0,7.1,5.27,5.1,21.4
2014-09-13,Main Lake Central,0.34,12.0,7.1,5.27,5.1,21.4
2014-09-14,Main Lake Central,0.34,12.0,7.1,5.27,5.1,21.4
2014-09-15,Main Lake Central,0.34,12.0,7.1,5.27,5.1,21.4
2014-09-16,Main Lake Central,0.365,12.1,7.725,3.8949999999999996,5.05,21.4
2014-09-17,Main Lake Central,0.365,12.1,7.725,3.8949999999999996,5.05,21.4
2014-09-18,Main Lake Central,0.365,12.1,7.725,3.8949999999999996,5.05,21.4
2014-09-19,Main Lake Central,0.365,12.1,7.725,3.8949999999999996,5.05,21.4
2014-09-20,Main Lake Central,0.3566666666666667,12.233333333333334,6.816666666666666,3.873333333333333,5.166666666666667,21.4
2014-09-21,Main Lake Central,0.3566666666666667,12.233333333333334,6.816666666666666,3.873333333333333,5.166666666666667,21.4
2014-09-22,Main Lake Central,0.3566666666666667,12.233333333333334,6.816666666666666,3.873333333333333,5.166666666666667,21.4
2014-09-23,Main Lake Central,0.3566666666666667,12.233333333333334,6.816666666666666,3.873333333333333,5.166666666666667,21.4
2014-09-24,Main Lake Central,0.365,12.350000000000001,6.675,3.175,5.2,
2014-09-25,Main Lake Central,0.365,12.350000000000001,6.675,3.175,5.2,
2014-09-26,Main Lake Central,0.365,12.350000000000001,6.675,3.175,5.2,
2014-09-27,Main Lake Central,0.365,12.350000000000001,6.675,3.175,5.2,
2014-09-28,Main Lake Central,0.365,12.350000000000001,6.675,3.175,5.2,
2014-09-29,Main Lake Central,0.365,12.350000000000001,6.675,3.175,5.2,
2014-09-30,Main Lake Central,0.34,12.5,5.0,3.83,5.4,
2014-10-01,Main Lake Central,0.34,12.5,5.0,3.83,5.4,
2014-10-02,Main Lake Central,0.34,12.5,5.0,3.83,5.4,
2014-10-03,Main Lake Central,0.3725,11.825,6.45,3.0775,6.6000000000000005,
2014-10-04,Main Lake Central,0.40499999999999997,11.149999999999999,7.9,2.325,7.800000000000001,
2014-10-05,Main Lake Central,0.40499999999999997,11.149999999999999,7.9,2.325,7.800000000000001,
2014-10-06,Main Lake Central,0.40499999999999997,11.149999999999999,7.9,2.325,7.800000000000001,
2014-10-07,Main Lake Central,0.40499999999999997,11.149999999999999,7.9,2.325,7.800000000000001,
2014-10-08,Main Lake Central,0.40499999999999997,11.149999999999999,7.9,2.325,7.800000000000001,
2014-10-09,Main Lake Central,0.40499999999999997,11.149999999999999,7.9,2.325,7.800000000000001,
2014-10-10,Main Lake Central,0.40499999999999997,11.149999999999999,7.9,2.325,7.800000000000001,
2014-10-11,Main Lake Central,0.3625,10.424999999999999,6.95,1.9725000000000001,7.4,
2014-10-12,Main Lake Central,0.3625,10.424999999999999,6.95,1.9725000000000001,7.4,
2014-10-13,Main Lake Central,0.3625,10.424999999999999,6.95,1.9725000000000001,7.4,
2014-10-14,Main Lake Central,0.3625,10.424999999999999,6.95,1.9725000000000001,7.4,
2014-10-15,Main Lake Central,0.3625,10.424999999999999,6.95,1.9725000000000001,7.4,
2014-10-16,Main Lake Central,0.3625,10.424999999999999,6.95,1.9725000000000001,7.4,
2014-10-17,Main Lake Central,0.3825,11.225,7.15,2.475,6.4,
2014-10-18,Main Lake Central,0.365,11.049999999999999,6.433333333333334,2.3633333333333333,5.766666666666667,
2014-10-19,Main Lake Central,0.365,11.049999999999999,6.433333333333334,2.3633333333333333,5.766666666666667,
2014-10-20,Main Lake Central,0.365,11.049999999999999,6.433333333333334,2.3633333333333333,5.766666666666667,
2014-10-21,Main Lake Central,0.365,11.049999999999999,6.433333333333334,2.3633333333333333,5.766666666666667,
2014-10-22,Main Lake Central,0.365,11.049999999999999,6.433333333333334,2.3633333333333333,5.766666666666667,
2014-10-23,Main Lake Central,0.365,11.049999999999999,6.433333333333334,2.3633333333333333,5.766666666666667,
2014-10-24,Main Lake Central,0.365,11.049999999999999,6.433333333333334,2.3633333333333333,5.766666666666667,
2014-10-25,Main Lake Central,0.38749999999999996,11.725,6.65,2.735,5.15,
2014-10-26,Main Lake Central,0.38749999999999996,11.725,6.65,2.735,5.15,
2014-10-27,Main Lake Central,0.38749999999999996,11.725,6.65,2.735,5.15,
2014-10-28,Main Lake Central,0.38749999999999996,11.725,6.65,2.735,5.15,
2014-10-29,Main Lake Central,0.38749999999999996,11.725,6.65,2.735,5.15,
2014-10-30,Main Lake Central,0.38749999999999996,11.725,6.65,2.735,5.15,
2014-10-31,Main Lake Central,0.33,10.7,5.0,2.14,4.5,
2014-11-01,Main Lake Central,,,,,,
2014-11-02,Main Lake Central,,,,,,
2014-11-03,Main Lake Central,,,,,,
2014-11-04,Main Lake Central,,,,,,
2014-11-05,Main Lake Central,,,,,,
2014-11-06,Main Lake Central,,,,,,
2014-11-07,Main Lake Central,,,,,,
2014-11-08,Main Lake Central,,,,,,
2014-11-09,Main Lake Central,,,,,,
2014-11-10,Main Lake Central,,,,,,
2014-11-11,Main Lake Central,,,,,,
2014-11-12,Main Lake Central,,,,,,
2014-11-13,Main Lake Central,,,,,,
2014-11-14,Main Lake Central,,,,,,
2014-11-15,Main Lake Central,,,,,,
2014-11-16,Main Lake Central,,,,,,
2014-11-17,Main Lake Central,,,,,,
2014-11-18,Main Lake Central,,,,,,
2014-11-19,Main Lake Central,,,,,,
2014-11-20,Main Lake Central,,,,,,
2014-11-21,Main Lake Central,,,,,,
2014-11-22,Main Lake Central,,,,,,
2014-11-23,Main Lake Central,,,,,,
2014-11-24,Main Lake Central,,,,,,
2014-11-25,Main Lake Central,,,,,,
2014-11-26,Main Lake Central,,,,,,
2014-11-27,Main Lake Central,,,,,,
2014-11-28,Main Lake Central,,,,,,
2014-11-29,Main Lake Central,,,,,,
2014-11-30,Main Lake Central,,,,,,
2014-12-01,Main Lake Central,,,,,,
2014-12-02,Main Lake Central,,,,,,
2014-12-03,Main Lake Central,,,,,,
2014-12-04,Main Lake Central,,,,,,
2014-12-05,Main Lake Central,,,,,,
2014-12-06,Main Lake Central,,,,,,
2014-12-07,Main Lake Central,,,,,,
2014-12-08,Main Lake Central,,,,,,
2014-12-09,Main Lake Central,,,,,,
2014-12-10,Main Lake Central,,,,,,
2014-12-11,Main Lake Central,,,,,,
2014-12-12,Main Lake Central,,,,,,
2014-12-13,Main Lake Central,,,,,,
2014-12-14,Main Lake Central,,,,,,
2014-12-15,Main Lake Central,,,,,,
2014-12-16,Main Lake Central,,,,,,
2014-12-17,Main Lake Central,,,,,,
2014-12-18,Main Lake Central,,,,,,
2014-12-19,Main Lake Central,,,,,,
2014-12-20,Main Lake Central,,,,,,
2014-12-21,Main Lake Central,,,,,,
2014-12-22,Main Lake Central,,,,,,
2014-12-23,Main Lake Central,,,,,,
2014-12-24,Main Lake Central,,,,,,
2014-12-25,Main Lake Central,,,,,,
2014-12-26,Main Lake Central,,,,,,
2014-12-27,Main Lake Central,,,,,,
2014-12-28,Main Lake Central,,,,,,
2014-12-29,Main Lake Central,,,,,,
2014-12-30,Main Lake Central,,,,,,
2014-12-31,Main Lake Central,,,,,,
2015-01-01,Main Lake Central,,,,,,
2015-01-02,Main Lake Central,,,,,,
2015-01-03,Main Lake Central,,,,,,
2015-01-04,Main Lake Central,,,,,,
2015-01-05,Main Lake Central,,,,,,
2015-01-06,Main Lake Central,,,,,,
2015-01-07,Main Lake Central,,,,,,
2015-01-08,Main Lake Central,,,,,,
2015-01-09,Main Lake Central,,,,,,
2015-01-10,Main Lake Central,,,,,,
2015-01-11,Main Lake Central,,,,,,
2015-01-12,Main Lake Central,,,,,,
2015-01-13,Main Lake Central,,,,,,
2015-01-14,Main Lake Central,,,,,,
2015-01-15,Main Lake Central,,,,,,
2015-01-16,Main Lake Central,,,,,,
2015-01-17,Main Lake Central,,,,,,
2015-01-18,Main Lake Central,,,,,,
2015-01-19,Main Lake Central,,,,,,
2015-01-20,Main Lake Central,,,,,,
2015-01-21,Main Lake Central,,,,,,
2015-01-22,Main Lake Central,,,,,,
2015-01-23,Main Lake Central,,,,,,
2015-01-24,Main Lake Central,,,,,,
2015-01-25,Main Lake Central,,,,,,
2015-01-26,Main Lake Central,,,,,,
2015-01-27,Main Lake Central,,,,,,
2015-01-28,Main Lake Central,,,,,,
2015-01-29,Main Lake Central,,,,,,
2015-01-30,Main Lake Central,,,,,,
2015-01-31,Main Lake Central,,,,,,
2015-02-01,Main Lake Central,,,,,,
2015-02-02,Main Lake Central,,,,,,
2015-02-03,Main Lake Central,,,,,,
2015-02-04,Main Lake Central,,,,,,
2015-02-05,Main Lake Central,,,,,,
2015-02-06,Main Lake Central,,,,,,
2015-02-07,Main Lake Central,,,,,,
2015-02-08,Main Lake Central,,,,,,
2015-02-09,Main Lake Central,,,,,,
2015-02-10,Main Lake Central,,,,,,
2015-02-11,Main Lake Central,,,,,,
2015-02-12,Main Lake Central,,,,,,
2015-02-13,Main Lake Central,,,,,,
2015-02-14,Main Lake Central,,,,,,
2015-02-15,Main Lake Central,,,,,,
2015-02-16,Main Lake Central,,,,,,
2015-02-17,Main Lake Central,,,,,,
2015-02-18,Main Lake Central,,,,,,
2015-02-19,Main Lake Central,,,,,,
2015-02-20,Main Lake Central,,,,,,
2015-02-21,Main Lake Central,,,,,,
2015-02-22,Main Lake Central,,,,,,
2015-02-23,Main Lake Central,,,,,,
2015-02-24,Main Lake Central,,,,,,
2015-02-25,Main Lake Central,,,,,,
2015-02-26,Main Lake Central,,,,,,
2015-02-27,Main Lake Central,,,,,,
2015-02-28,Main Lake Central,,,,,,
2015-03-01,Main Lake Central,,,,,,
2015-03-02,Main Lake Central,,,,,,
2015-03-03,Main Lake Central,,,,,,
2015-03-04,Main Lake Central,,,,,,
2015-03-05,Main Lake Central,,,,,,
2015-03-06,Main Lake Central,,,,,,
2015-03-07,Main Lake Central,,,,,,
2015-03-08,Main Lake Central,,,,,,
2015-03-09,Main Lake Central,,,,,,
2015-03-10,Main Lake Central,,,,,,
2015-03-11,Main Lake Central,,,,,,
2015-03-12,Main Lake Central,,,,,,
2015-03-13,Main Lake Central,,,,,,
2015-03-14,Main Lake Central,,,,,,
2015-03-15,Main Lake Central,,,,,,
2015-03-16,Main Lake Central,,,,,,
2015-03-17,Main Lake Central,,,,,,
2015-03-18,Main Lake Central,,,,,,
2015-03-19,Main Lake Central,,,,,,
2015-03-20,Main Lake Central,,,,,,
2015-03-21,Main Lake Central,,,,,,
2015-03-22,Main Lake Central,,,,,,
2015-03-23,Main Lake Central,,,,,,
2015-03-24,Main Lake Central,,,,,,
2015-03-25,Main Lake Central,,,,,,
2015-03-26,Main Lake Central,,,,,,
2015-03-27,Main Lake Central,,,,,,
2015-03-28,Main Lake Central,,,,,,
2015-03-29,Main Lake Central,,,,,,
2015-03-30,Main Lake Central,,,,,,
2015-03-31,Main Lake Central,,,,,,
2015-04-01,Main Lake Central,,,,,,
2015-04-02,Main Lake Central,,,,,,
2015-04-03,Main Lake Central,,,,,,
2015-04-04,Main Lake Central,,,,,,
2015-04-05,Main Lake Central,,,,,,
2015-04-06,Main Lake Central,,,,,,
2015-04-07,Main Lake Central,,,,,,
2015-04-08,Main Lake Central,,,,,,
2015-04-09,Main Lake Central,,,,,,
2015-04-10,Main Lake Central,,,,,,
2015-04-11,Main Lake Central,,,,,,
2015-04-12,Main Lake Central,,,,,,
2015-04-13,Main Lake Central,,,,,,
2015-04-14,Main Lake Central,,,,,,
2015-04-15,Main Lake Central,,,,,,
2015-04-16,Main Lake Central,,,,,,
2015-04-17,Main Lake Central,,,,,,
2015-04-18,Main Lake Central,,,,,,
2015-04-19,Main Lake Central,,,,,,
2015-04-20,Main Lake Central,,,,,,
2015-04-21,Main Lake Central,,,,,,
2015-04-22,Main Lake Central,,,,,,
2015-04-23,Main Lake Central,,,,,,
2015-04-24,Main Lake Central,,,,,,
2015-04-25,Main Lake Central,,,,,,
2015-04-26,Main Lake Central,,,,,,
2015-04-27,Main Lake Central,,,,,,
2015-04-28,Main Lake Central,,,,,,
2015-04-29,Main Lake Central,,,,,,
2015-04-30,Main Lake Central,,,,,,
2015-05-01,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-02,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-03,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-04,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-05,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-06,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-07,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-08,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-09,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-10,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-11,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-12,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-13,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-14,Main Lake Central,0.42,14.1,9.1,2.76,5.6,3.5
2015-05-15,Main Lake Central,,,,,,
2015-05-16,Main Lake Central,,,,,,
2015-05-17,Main Lake Central,,,,,,
2015-05-18,Main Lake Central,,,,,,
2015-05-19,Main Lake Central,,,,,,
2015-05-20,Main Lake Central,,,,,,
2015-05-21,Main Lake Central,,,,,,
2015-05-22,Main Lake Central,,,,,,
2015-05-23,Main Lake Central,,,,,,
2015-05-24,Main Lake Central,,,,,,
2015-05-25,Main Lake Central,,,,,,
2015-05-26,Main Lake Central,,,,,,
2015-05-27,Main Lake Central,,,,,,
2015-05-28,Main Lake Central,,,,,,
2015-05-29,Main Lake Central,,,,,,
2015-05-30,Main Lake Central,0.41,18.5,7.4,3.78,6.1,12.2
2015-05-31,Main Lake Central,0.41,18.5,7.4,3.78,6.1,12.2
2015-06-01,Main Lake Central,0.41,18.5,7.4,3.78,6.1,12.2
2015-06-02,Main Lake Central,0.41,18.5,7.4,3.78,6.1,12.2
2015-06-03,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-04,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-05,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-06,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-07,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-08,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-09,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-10,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-11,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-12,Main Lake Central,0.405,44.05,10.2,3.04,5.55,12.1
2015-06-13,Main Lake Central,0.4,69.6,13.0,2.3,5.0,12.0
2015-06-14,Main Lake Central,0.4,69.6,13.0,2.3,5.0,12.0
2015-06-15,Main Lake Central,0.4,69.6,13.0,2.3,5.0,12.0
2015-06-16,Main Lake Central,0.405,39.699999999999996,9.65,1.815,4.05,14.2
2015-06-17,Main Lake Central,0.41,9.8,6.3,1.33,3.1,16.4
2015-06-18,Main Lake Central,0.41,9.8,6.3,1.33,3.1,16.4
2015-06-19,Main Lake Central,0.41,9.8,6.3,1.33,3.1,16.4
2015-06-20,Main Lake Central,0.41,9.8,6.3,1.33,3.1,16.4
2015-06-21,Main Lake Central,0.41,9.8,6.3,1.33,3.1,16.4
2015-06-22,Main Lake Central,0.41,9.8,6.3,1.33,3.1,16.4
2015-06-23,Main Lake Central,0.43,11.9,6.675000000000001,2.3049999999999997,3.7,17.4
2015-06-24,Main Lake Central,0.43,11.9,6.675000000000001,2.3049999999999997,3.7,17.4
2015-06-25,Main Lake Central,0.42,11.566666666666668,6.283333333333334,2.873333333333333,3.9,17.133333333333333
2015-06-26,Main Lake Central,0.42,11.566666666666668,6.283333333333334,2.873333333333333,3.9,17.133333333333333
2015-06-27,Main Lake Central,0.42,11.566666666666668,6.283333333333334,2.873333333333333,3.9,17.133333333333333
2015-06-28,Main Lake Central,0.42,11.566666666666668,6.283333333333334,2.873333333333333,3.9,17.133333333333333
2015-06-29,Main Lake Central,0.42,11.566666666666668,6.283333333333334,2.873333333333333,3.9,17.133333333333333
2015-06-30,Main Lake Central,0.42500000000000004,12.450000000000001,6.275,3.6449999999999996,4.3,17.5
2015-07-01,Main Lake Central,0.42500000000000004,12.450000000000001,6.275,3.6449999999999996,4.3,17.5
2015-07-02,Main Lake Central,0.42500000000000004,12.450000000000001,6.275,3.6449999999999996,4.3,17.5
2015-07-03,Main Lake Central,0.42500000000000004,12.450000000000001,6.275,3.6449999999999996,4.3,17.5
2015-07-04,Main Lake Central,0.42500000000000004,12.450000000000001,6.275,3.6449999999999996,4.3,17.5
2015-07-05,Main Lake Central,0.42500000000000004,12.450000000000001,6.275,3.6449999999999996,4.3,17.5
