REPORTDATE,REPORTTIME,WATERBODY,REGION,MUNICIPALITY,SITE,STATION,BLOOMINTENSITY,REPORTFREQUENCY,AFFILIATION,WEBSTATUS,DETAILS,WATERTEMP,WATERSURFACE,CYANOTAXA,OTHERTAXA,MICROCYSTIN,ANATOXIN,LATITUDE,LONGITUDE
08/26/2016,14:50,Lake Champlain,Champlain - Main Lake South,Panton,3.0,Arnold Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,74.0,Rolling,,,,,44.14973948,-73.3694677
06/14/2016,11:30,Lake Champlain,Champlain - South Lake,Bridport,4.0,LTM 04,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Calm,no potentially toxic cyanobacteria observed,"Chrysophytes, cryptophyte flagellates, Euglenophyta, diatoms",,,43.951,-73.407
06/24/2016,12:00,Lake Champlain,Champlain - South Lake,Bridport,4.0,LTM 04,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece","Aphanocapsa, diatoms, Chrysophytes, green algae, cryptophyte flagellates, unidentified cyanobacteria cells",not tested,not tested,43.951,-73.407
07/07/2016,12:00,Lake Champlain,Champlain - South Lake,Bridport,4.0,LTM 04,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon","diatoms, Chrysophytes, green algae, cryptophyte flagellates, Dinoflagellates",not tested,not tested,43.951,-73.407
07/26/2016,12:00,Lake Champlain,Champlain - South Lake,Bridport,4.0,LTM 04,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece","diatoms, Chrysophytes, green algae, cryptophyte flagellates, Dinoflagellates",not tested,not tested,43.951,-73.407
08/09/2016,12:00,Lake Champlain,Champlain - South Lake,Bridport,4.0,LTM 04,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon","diatoms, Chrysophytes, green algae, cryptophyte flagellates",not tested,not tested,43.951,-73.407
09/15/2016,13:00,Lake Champlain,Champlain - South Lake,Bridport,4.0,LTM 04,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon","diatoms, Chrysophytes, green algae, cryptophyte flagellates, Dinoflagellates, Euglenophyta",not tested,not tested,43.951,-73.407
10/04/2016,12:00,Lake Champlain,Champlain - South Lake,Bridport,4.0,LTM 04,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,Aphanizomenon,"diatoms, Chrysophytes, green algae, cryptophyte flagellates, Dinoflagellates, Euglenophyta",not tested,not tested,43.951,-73.407
10/01/2016,10:00,Lake Champlain,Champlain - Main Lake North,North Hero,5.0,Carry Bay,3 - BGA bloom in progress (include photos),Supplemental,LCC Volunteer,High Alert,bright aqua blue along the east shore at the Carry and south to marsh,66.0,Calm,,,,,44.83359186,-73.28990562
06/27/2016,14:00,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,White Caps,,,,,45.00784958,-73.21121984
07/03/2016,12:12,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,Some scum hanging on protruding water weeds.,76.1,Calm,,,,,45.00784958,-73.21121984
07/11/2016,12:45,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,78.7,Calm,,,,,45.00784958,-73.21121984
07/18/2016,12:20,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,78.2,Calm,,,,,45.00784958,-73.21121984
07/24/2016,12:50,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,81.0,Calm,,,,,45.00784958,-73.21121984
07/31/2016,11:50,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,83.0,Calm,,,,,45.00784958,-73.21121984
08/07/2016,12:45,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,81.6,Calm,,,,,45.00784958,-73.21121984
08/15/2016,13:46,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,82.0,Calm,,,,,45.00784958,-73.21121984
08/19/2016,17:30,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,3 - BGA bloom in progress (include photos),Supplemental,LCC Volunteer,High Alert,Was clear earlier in the day. Breeze blowing from east.,,Rolling,,,,,45.00784958,-73.21121984
08/20/2016,11:30,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Supplemental,LCC Volunteer,Generally Safe,Bloom reported last evening has completely dissipated.,,Rolling,,,,,45.00784958,-73.21121984
08/21/2016,12:20,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,LCC Volunteer,Generally Safe,,77.0,White Caps,,,,,45.00784958,-73.21121984
09/04/2016,12:10,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,77.0,Calm,,,,,45.00784958,-73.21121984
09/06/2016,12:15,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,3 - BGA bloom in progress (include photos),Supplemental,LCC Volunteer,High Alert,,,Calm,,,,,45.00784958,-73.21121984
09/15/2016,16:15,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,2 - BGA present - less than bloom levels (include photos),Supplemental,LCC Volunteer,Low Alert,"The bloom may have been forming a lot earlier in the day but I only noticed it late afternoon.
Appears to be wide spread.",72.0,Calm,,,,,45.00784958,-73.21121984
09/18/2016,12:55,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1d - Little BGA present - recreation not impaired,Routine - Weekly,LCC Volunteer,Generally Safe,,74.6,Rolling,,,,,45.00784958,-73.21121984
09/25/2016,14:55,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,69.0,Rolling,,,,,45.00784958,-73.21121984
10/02/2016,13:10,Lake Champlain,Champlain - Missisquoi Bay,Alburgh,6.0,Chapman Bay,2 - BGA present - less than bloom levels (include photos),Routine - Weekly,LCC Volunteer,Low Alert,,,Rolling,,,,,45.00784958,-73.21121984
06/21/2016,10:00,Lake Champlain,Champlain - Main Lake South,Panton,7.0,LTM 07,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,no cyanobacteria observed,"Chrysophytes, cryptophyte flagellates, diatoms",not tested,not tested,44.126,-73.41283333
07/05/2016,10:00,Lake Champlain,Champlain - Main Lake South,Panton,7.0,LTM 07,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece","Aphanocapsa, diatoms, Chrysophytes, cryptophyte flagellates, Euglenophyta, green algae, Limnothrix",not tested,not tested,44.126,-73.41283333
07/20/2016,10:00,Lake Champlain,Champlain - Main Lake South,Panton,7.0,LTM 07,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Calm,"Anabaena, Aphanizomenon, unidentified Oscillatoriaceae","diatoms, Chrysophytes, green algae, cryptophyte flagellates",not tested,not tested,44.126,-73.41283333
08/04/2016,10:30,Lake Champlain,Champlain - Main Lake South,Panton,7.0,LTM 07,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece","diatoms, Chrysophytes, cryptophyte flagellates, green algae, unidentified cyanobacteria cells",not tested,not tested,44.126,-73.41283333
08/23/2016,12:00,Lake Champlain,Champlain - Main Lake South,Panton,7.0,LTM 07,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece","diatoms, green algae, cryptophyte flagellates, chrysophytes",not tested,not tested,44.126,-73.41283333
09/19/2016,10:00,Lake Champlain,Champlain - Main Lake South,Panton,7.0,LTM 07,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece","diatoms, Chrysophytes, green algae, cryptophyte flagellates, Limnothrix, unidentified cyanobacteria cells",not tested,not tested,44.126,-73.41283333
10/05/2016,10:30,Lake Champlain,Champlain - Main Lake South,Panton,7.0,LTM 07,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Microcystis","diatoms, Chrysophytes, green algae, cryptophyte flagellates, unidentified cyanobacteria cells",not tested,not tested,44.126,-73.41283333
06/21/2016,12:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9.0,LTM 09,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,no potentially toxic cyanobacteria observed,"diatoms, Chrysophytes, green algae, cryptophyte flagellates, unidentified cyanobacteria cells",not tested,not tested,44.24216667,-73.32916667
07/05/2016,12:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9.0,LTM 09,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon","diatoms, Chrysophytes, green algae, cryptophyte flagellates",not tested,not tested,44.24216667,-73.32916667
07/20/2016,12:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9.0,LTM 09,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Calm,"Anabaena, Aphanizomenon","diatoms, Chrysophytes, green algae, cryptophyte flagellates",not tested,not tested,44.24216667,-73.32916667
08/04/2016,12:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9.0,LTM 09,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon","diatoms, Chrysophytes, green algae, cryptophyte flagellates",not tested,not tested,44.24216667,-73.32916667
08/23/2016,10:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9.0,LTM 09,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece, Komvophoron spp., Microcystis","diatoms, Chrysophytes, green algae, Dinoflagellates",not tested,not tested,44.24216667,-73.32916667
09/19/2016,12:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9.0,LTM 09,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece","Aphanocapsa, diatoms, Chrysophytes, green algae, cryptophyte flagellates, unidentified cyanobacteria cells",not tested,not tested,44.24216667,-73.32916667
10/05/2016,12:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9.0,LTM 09,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Anabaena, Aphanizomenon, Aphanothece, Microcystis, Woronichinia/Coelosphaerium","Aphanocapsa, diatoms, Chrysophytes, green algae, cryptophyte flagellates, Dinoflagellates, Romeria, unidentified cyanobacteria trichome",not tested,not tested,44.24216667,-73.32916667
06/20/2016,12:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,Alexa submitting report b/c MP couldn't access her site on the reporter.,74.0,Rolling,,,,,44.99320291,-73.17530251
06/27/2016,12:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,74.0,Rolling,,,,,44.99320291,-73.17530251
07/04/2016,12:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,78.0,Calm,,,,,44.99320291,-73.17530251
07/11/2016,12:30,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,75.0,Calm,,,,,44.99320291,-73.17530251
07/19/2016,12:30,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,winds from W,75.0,Rolling,,,,,44.99320291,-73.17530251
07/26/2016,13:30,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,80.0,Rolling,,,,,44.99320291,-73.17530251
08/01/2016,13:30,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,78.0,Calm,,,,,44.99320291,-73.17530251
08/09/2016,13:30,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,82.0,Calm,,,,,44.99320291,-73.17530251
08/14/2016,13:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,80.0,Rolling,,,,,44.99320291,-73.17530251
08/24/2016,13:30,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1d - Little BGA present - recreation not impaired,Routine - Weekly,LCC Volunteer,Generally Safe,,79.0,Calm,,,,,44.99320291,-73.17530251
08/31/2016,13:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,75.0,Calm,,,,,44.99320291,-73.17530251
09/03/2016,15:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,2 - BGA present - less than bloom levels (include photos),Routine - Weekly,LCC Volunteer,Low Alert,,,Calm,,,,,44.99320291,-73.17530251
09/06/2016,13:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1c - Little or no BGA present - other material present,Supplemental,LCC Volunteer,Generally Safe,,,Calm,,,,,44.99320291,-73.17530251
09/14/2016,13:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,76.0,Calm,,,,,44.99320291,-73.17530251
09/20/2016,13:00,Lake Champlain,Champlain - Missisquoi Bay,Swanton,10.0,Donaldson Point,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,76.0,Calm,,,,,44.99320291,-73.17530251
06/29/2016,13:00,Lake Champlain,Champlain - Inland Sea,Grand Isle,11.0,Grand Isle State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,44.68602065,-73.28912364
07/08/2016,15:00,Lake Champlain,Champlain - Inland Sea,Grand Isle,11.0,Grand Isle State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,44.68602065,-73.28912364
07/14/2016,14:30,Lake Champlain,Champlain - Inland Sea,Grand Isle,11.0,Grand Isle State Park,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,Lots of green gloppy seaweed but no blue green,,Rolling,,,,,44.68602065,-73.28912364
07/21/2016,15:15,Lake Champlain,Champlain - Inland Sea,Grand Isle,11.0,Grand Isle State Park,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,gloppy green seaweed again...,,Calm,,,,,44.68602065,-73.28912364
07/28/2016,14:00,Lake Champlain,Champlain - Inland Sea,Grand Isle,11.0,Grand Isle State Park,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,filamentous algae all over shoreline very smelly but water very clear past where fil. algae was coming into shore.  ,72.0,Calm,,,,,44.68602065,-73.28912364
08/25/2016,14:30,Lake Champlain,Champlain - Inland Sea,Grand Isle,11.0,Grand Isle State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,44.68602065,-73.28912364
06/19/2016,13:00,Lake Champlain,Champlain - Main Lake Central,"Plattsburgh, NY",12.0,"Wilcox Dock, Plattsburgh",1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,44.70887029,-73.44537613
06/26/2016,14:00,Lake Champlain,Champlain - Main Lake Central,"Plattsburgh, NY",12.0,"Wilcox Dock, Plattsburgh",1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,44.70887029,-73.44537613
07/03/2016,14:00,Lake Champlain,Champlain - Main Lake Central,"Plattsburgh, NY",12.0,"Wilcox Dock, Plattsburgh",1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,68.0,Rolling,,,,,44.70887029,-73.44537613
07/10/2016,14:00,Lake Champlain,Champlain - Main Lake Central,"Plattsburgh, NY",12.0,"Wilcox Dock, Plattsburgh",1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,68.0,Calm,,,,,44.70887029,-73.44537613
07/24/2016,14:00,Lake Champlain,Champlain - Main Lake Central,"Plattsburgh, NY",12.0,"Wilcox Dock, Plattsburgh",1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,72.0,Rolling,,,,,44.70887029,-73.44537613
08/14/2016,12:30,Lake Champlain,Champlain - Main Lake Central,"Plattsburgh, NY",12.0,"Wilcox Dock, Plattsburgh",1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,74.0,Rolling,,,,,44.70887029,-73.44537613
06/15/2016,11:30,Lake Champlain,Champlain - Missisquoi Bay,Highgate,14.0,Highgate Springs,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Calm,Aphanothece,"diatoms, Chrysophytes, green algae, cryptophyte flagellates, unidentified cyanobacteria trichome",not tested,not tested,44.99176667,-73.11338333
07/06/2016,10:00,Lake Champlain,Champlain - Missisquoi Bay,Highgate,14.0,Highgate Springs,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Aphanothece, Microcystis, Pseudanabaena","diatoms, Chrysophytes, green algae, cryptophyte flagellates, Dinoflagellates, Romeria, unidentified cyanobacteria trichome",not tested,not tested,44.99176667,-73.11338333
07/21/2016,13:00,Lake Champlain,Champlain - Missisquoi Bay,Highgate,14.0,Highgate Springs,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,"Aphanothece, Microcystis","diatoms, Chrysophytes, green algae, cryptophyte flagellates, Euglenophyta, unidentified cyanobacteria cells",not tested,not tested,44.99176667,-73.11338333
08/03/2016,12:00,Lake Champlain,Champlain - Missisquoi Bay,Highgate,14.0,Highgate Springs,2 - BGA present - less than bloom levels (include photos),Routine - Biweekly,VT DEC,Low Alert,,,Calm,"Anabaena, Aphanothece, Gloeotrichia","diatoms, Chrysophytes, green algae, cryptophyte flagellates, Euglenophyta",<0.16,<0.5,44.99176667,-73.11338333
08/19/2016,11:25,Lake Champlain,Champlain - Missisquoi Bay,Highgate,14.0,Highgate Springs,3 - BGA bloom in progress (include photos),Routine - Biweekly,VT DEC,High Alert,,,Rolling,"Anabaena, Aphanothece, unidentified Oscillatoriaceae","diatoms, Chrysophytes, green algae, cryptophyte flagellates",not tested,not tested,44.99176667,-73.11338333
09/16/2016,10:00,Lake Champlain,Champlain - Missisquoi Bay,Highgate,14.0,Highgate Springs,3 - BGA bloom in progress (include photos),Routine - Biweekly,VT DEC,High Alert,,,Calm,"Anabaena, Aphanothece, Microcystis",diatoms,<0.16,<0.5,44.99176667,-73.11338333
09/29/2016,12:00,Lake Champlain,Champlain - Missisquoi Bay,Highgate,14.0,Highgate Springs,2 - BGA present - less than bloom levels (include photos),Routine - Biweekly,VT DEC,Low Alert,,,Calm,"Anabaena, Aphanizomenon, Microcystis","diatoms, Chrysophytes, cryptophyte flagellates, Euglenophyta, unidentified cyanobacteria cells",,,44.99176667,-73.11338333
06/18/2016,14:45,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,63.0,Calm,,,,,44.24030153,-73.29873378
06/25/2016,15:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,63.0,Rolling,,,,,44.24030153,-73.29873378
07/30/2016,15:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,44.24030153,-73.29873378
08/06/2016,13:25,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,44.24030153,-73.29873378
08/20/2016,13:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,44.24030153,-73.29873378
08/27/2016,14:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,71.0,Rolling,,,,,44.24030153,-73.29873378
09/05/2016,15:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1a - Little or no BGA present - clear water,Supplemental,LCC Volunteer,Generally Safe,,,Calm,,,,,44.24030153,-73.29873378
09/10/2016,11:00,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,70.0,Calm,,,,,44.24030153,-73.29873378
09/17/2016,12:30,Lake Champlain,Champlain - Main Lake South,Ferrisburg,15.0,Kingsland Bay State Park,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,71.0,Rolling,,,,,44.24030153,-73.29873378
06/16/2016,12:00,Lake Champlain,Champlain - Main Lake Central,Shelburne,16.0,LTM 16,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,Aphanothece,"diatoms, Chrysophytes, cryptophyte flagellates, green algae, unidentified cyanobacteria cells",not tested,not tested,44.425,-73.232
