Variable 1,Variable 2,Correlation
dec_secchi depth,usgs_water_temp_max_trailing,-0.1
noaa_WSF2,vct_water_temp_trailing,-0.1
dec_secchi depth,noaa_WDF5,-0.1
noaa_WDF5,noaa_TMAX,0.1
dec_secchi depth,noaa_AWND,0.1
dec_secchi depth,usgs_conductivity_mean_trailing,0.1
dec_total phosphorus,usgs_conductivity_max_trailing,-0.1
noaa_TMAX,usgs_conductivity_mean_trailing,0.1
dec_secchi depth,usgs_water_temp_mean_trailing,-0.09
noaa_WDF2,usgs_water_temp_min_trailing,-0.09
dec_secchi depth,noaa_TMIN,-0.09
dec_dissolved phosphorus,usgs_conductivity_max_trailing,-0.09
dec_temperature,usgs_conductivity_max_trailing,-0.09
noaa_PRCP,usgs_conductivity_mean_trailing,0.09
dec_temperature,usgs_conductivity_min_trailing,0.09
dec_dissolved phosphorus,usgs_water_temp_min_trailing,0.09
dec_total nitrogen,noaa_TAVG,-0.09
dec_chlorophyll-a,noaa_PRCP,-0.09
dec_total nitrogen,noaa_TMAX,-0.09
noaa_TMAX,usgs_conductivity_min_trailing,0.09
noaa_WDF5,noaa_AWND,-0.08
dec_dissolved phosphorus,usgs_water_temp_mean_trailing,0.08
dec_secchi depth,usgs_conductivity_max_trailing,0.08
dec_dissolved phosphorus,usgs_conductivity_mean_trailing,-0.08
dec_total phosphorus,usgs_conductivity_min_trailing,-0.08
dec_total nitrogen,noaa_TMIN,-0.08
dec_total nitrogen,noaa_AWND,-0.08
dec_chlorophyll-a,vct_water_temp_trailing,0.08
noaa_WDF5,noaa_WSF5,0.08
dec_total phosphorus,usgs_conductivity_mean_trailing,-0.08
dec_secchi depth,usgs_water_temp_min_trailing,-0.08
dec_total phosphorus,noaa_TMAX,0.08
dec_dissolved phosphorus,usgs_water_temp_max_trailing,0.07
dec_total phosphorus,noaa_TAVG,0.07
dec_total nitrogen,usgs_conductivity_max_trailing,-0.07
dec_total phosphorus,noaa_TMIN,0.07
dec_secchi depth,noaa_WDF2,-0.07
noaa_WSF5,usgs_conductivity_min_trailing,-0.07
dec_total nitrogen,noaa_WSF5,-0.07
dec_dissolved phosphorus,usgs_conductivity_min_trailing,-0.07
noaa_WSF2,usgs_conductivity_mean_trailing,0.07
dec_total nitrogen,usgs_conductivity_min_trailing,-0.07
noaa_PRCP,usgs_conductivity_min_trailing,-0.07
dec_total nitrogen,usgs_conductivity_mean_trailing,-0.07
noaa_TAVG,noaa_WDF5,0.06
noaa_WDF2,usgs_water_temp_mean_trailing,-0.06
dec_total nitrogen,noaa_WSF2,-0.06
noaa_TAVG,noaa_WDF2,-0.06
noaa_AWND,usgs_conductivity_max_trailing,0.06
noaa_WDF5,noaa_PRCP,-0.05
dec_secchi depth,noaa_WSF2,0.05
dec_secchi depth,noaa_WSF5,0.05
noaa_WSF5,noaa_WDF2,0.05
noaa_WDF2,usgs_water_temp_max_trailing,-0.05
usgs_conductivity_mean_trailing,vct_water_temp_trailing,-0.04
noaa_WDF2,noaa_PRCP,-0.04
noaa_WSF5,usgs_conductivity_mean_trailing,0.04
noaa_WSF2,noaa_WDF2,0.04
dec_total phosphorus,noaa_PRCP,-0.04
noaa_WDF2,vct_water_temp_trailing,0.04
noaa_WSF2,usgs_conductivity_min_trailing,-0.04
dec_total phosphorus,noaa_WSF5,-0.04
dec_total nitrogen,usgs_water_temp_max_trailing,-0.03
noaa_WDF5,usgs_water_temp_min_trailing,-0.03
dec_chlorophyll-a,usgs_conductivity_max_trailing,-0.03
dec_secchi depth,noaa_PRCP,-0.03
usgs_conductivity_max_trailing,usgs_water_temp_min_trailing,0.03
dec_total phosphorus,noaa_WSF2,-0.03
dec_total phosphorus,noaa_AWND,-0.03
usgs_conductivity_max_trailing,vct_water_temp_trailing,-0.03
dec_temperature,noaa_WDF5,0.03
dec_total nitrogen,noaa_PRCP,0.03
noaa_AWND,usgs_conductivity_min_trailing,-0.03
dec_temperature,usgs_conductivity_mean_trailing,0.03
usgs_conductivity_max_trailing,usgs_water_temp_mean_trailing,0.03
usgs_conductivity_max_trailing,usgs_water_temp_max_trailing,0.03
noaa_TMIN,usgs_conductivity_max_trailing,0.03
dec_total nitrogen,usgs_water_temp_mean_trailing,-0.03
noaa_WDF2,noaa_TMAX,-0.03
dec_dissolved phosphorus,noaa_PRCP,0.02
dec_dissolved phosphorus,noaa_TMIN,0.02
noaa_WDF5,usgs_water_temp_max_trailing,0.02
noaa_WDF5,usgs_conductivity_max_trailing,-0.02
dec_total nitrogen,vct_water_temp_trailing,-0.02
dec_chlorophyll-a,noaa_TAVG,-0.02
dec_chlorophyll-a,noaa_WDF2,0.02
dec_total nitrogen,usgs_water_temp_min_trailing,-0.02
dec_dissolved phosphorus,noaa_TMAX,0.02
noaa_TAVG,usgs_conductivity_max_trailing,0.02
dec_dissolved phosphorus,noaa_TAVG,0.02
dec_total phosphorus,noaa_WDF5,0.02
dec_dissolved phosphorus,noaa_WSF5,-0.02
dec_chlorophyll-a,usgs_conductivity_mean_trailing,-0.02
dec_total nitrogen,noaa_WDF5,0.02
dec_chlorophyll-a,noaa_TMIN,-0.02
dec_chlorophyll-a,noaa_WDF5,0.01
dec_chlorophyll-a,noaa_TMAX,-0.01
noaa_TMAX,usgs_conductivity_max_trailing,0.01
dec_temperature,noaa_WDF2,-0.01
dec_total phosphorus,noaa_WDF2,-0.01
dec_dissolved phosphorus,noaa_AWND,-0.01
dec_dissolved phosphorus,noaa_WSF2,-0.01
dec_total nitrogen,noaa_WDF2,-0.01
dec_chlorophyll-a,usgs_conductivity_min_trailing,0.01
dec_dissolved phosphorus,noaa_WDF5,-0.01
noaa_WDF2,usgs_conductivity_max_trailing,-0.0
noaa_WDF5,noaa_TMIN,0.0
dec_temperature,dec_total nitrogen,-0.0
noaa_AWND,usgs_conductivity_mean_trailing,0.0
dec_dissolved phosphorus,noaa_WDF2,0.0
noaa_WDF5,usgs_water_temp_mean_trailing,-0.0
