vct_report_date,vct_region,vct_water_surface,vct_water_temp,vct_anabaena,vct_aphanizomenon,vct_microcystin,vct_oscillatoria,vct_day_of_year
2015-03-21,Inland Sea,,,,,,,79
2015-03-22,Inland Sea,,,,,,,80
2015-03-23,Inland Sea,,,,,,,81
2015-03-24,Inland Sea,,,,,,,82
2015-03-25,Inland Sea,,,,,,,83
2015-03-26,Inland Sea,,,,,,,84
2015-03-27,Inland Sea,,,,,,,85
2015-03-28,Inland Sea,,,,,,,86
2015-03-29,Inland Sea,,,,,,,87
2015-03-30,Inland Sea,,,,,,,88
2015-03-31,Inland Sea,,,,,,,89
2015-04-01,Inland Sea,,,,,,,90
2015-04-02,Inland Sea,,,,,,,91
2015-04-03,Inland Sea,,,,,,,92
2015-04-04,Inland Sea,,,,,,,93
2015-04-05,Inland Sea,,,,,,,94
2015-04-06,Inland Sea,,,,,,,95
2015-04-07,Inland Sea,,,,,,,96
2015-04-08,Inland Sea,,,,,,,97
2015-04-09,Inland Sea,,,,,,,98
2015-04-10,Inland Sea,,,,,,,99
2015-04-11,Inland Sea,,,,,,,100
2015-04-12,Inland Sea,,,,,,,101
2015-04-13,Inland Sea,,,,,,,102
2015-04-14,Inland Sea,,,,,,,103
2015-04-15,Inland Sea,,,,,,,104
2015-04-16,Inland Sea,,,,,,,105
2015-04-17,Inland Sea,,,,,,,106
2015-04-18,Inland Sea,,,,,,,107
2015-04-19,Inland Sea,,,,,,,108
2015-04-20,Inland Sea,,,,,,,109
2015-04-21,Inland Sea,,,,,,,110
2015-04-22,Inland Sea,,,,,,,111
2015-04-23,Inland Sea,,,,,,,112
2015-04-24,Inland Sea,,,,,,,113
2015-04-25,Inland Sea,,,,,,,114
2015-04-26,Inland Sea,,,,,,,115
2015-04-27,Inland Sea,,,,,,,116
2015-04-28,Inland Sea,,,,,,,117
2015-04-29,Inland Sea,,,,,,,118
2015-04-30,Inland Sea,,,,,,,119
2015-05-01,Inland Sea,,,,,,,120
2015-05-02,Inland Sea,,,,,,,121
2015-05-03,Inland Sea,,,,,,,122
2015-05-04,Inland Sea,,,,,,,123
2015-05-05,Inland Sea,,,,,,,124
2015-05-06,Inland Sea,,,,,,,125
2015-05-07,Inland Sea,,,,,,,126
2015-05-08,Inland Sea,,,,,,,127
2015-05-09,Inland Sea,,,,,,,128
2015-05-10,Inland Sea,,,,,,,129
2015-05-11,Inland Sea,,,,,,,130
2015-05-12,Inland Sea,,,,,,,131
2015-05-13,Inland Sea,,,,,,,132
2015-05-14,Inland Sea,,,,,,,133
2015-05-15,Inland Sea,,,,,,,134
2015-05-16,Inland Sea,,,,,,,135
2015-05-17,Inland Sea,,,,,,,136
2015-05-18,Inland Sea,,,,,,,137
2015-05-19,Inland Sea,,,,,,,138
2015-05-20,Inland Sea,,,,,,,139
2015-05-21,Inland Sea,,,,,,,140
2015-05-22,Inland Sea,,,,,,,141
2015-05-23,Inland Sea,,,,,,,142
2015-05-24,Inland Sea,,,,,,,143
2015-05-25,Inland Sea,,,,,,,144
2015-05-26,Inland Sea,,,,,,,145
2015-05-27,Inland Sea,,,,,,,146
2015-05-28,Inland Sea,,,,,,,147
2015-05-29,Inland Sea,,,,,,,148
2015-05-30,Inland Sea,,,,,,,149
2015-05-31,Inland Sea,,,,,,,150
2015-06-01,Inland Sea,0.0,70.0,0.0,0.0,0.0,0.0,151
2015-06-02,Inland Sea,0.0,70.0,0.0,0.0,0.0,0.0,152
2015-06-03,Inland Sea,0.0,70.0,0.0,0.0,0.0,0.0,153
2015-06-04,Inland Sea,0.0,70.0,0.0,0.0,0.0,0.0,154
2015-06-05,Inland Sea,0.5,70.0,1.0,0.0,0.0,0.0,155
2015-06-06,Inland Sea,0.5,70.0,1.0,0.0,0.0,0.0,156
2015-06-07,Inland Sea,0.5,70.0,1.0,0.0,0.0,0.0,157
2015-06-08,Inland Sea,1.0,,1.0,0.0,0.0,0.0,158
2015-06-09,Inland Sea,1.0,,1.0,0.0,0.0,0.0,159
2015-06-10,Inland Sea,1.0,,1.0,0.0,0.0,0.0,160
2015-06-11,Inland Sea,1.0,,1.0,0.0,0.0,0.0,161
2015-06-12,Inland Sea,,,,,,,162
2015-06-13,Inland Sea,,,,,,,163
2015-06-14,Inland Sea,0.0,,0.0,0.0,0.0,0.0,164
2015-06-15,Inland Sea,0.0,,0.0,0.0,0.0,0.0,165
2015-06-16,Inland Sea,0.3333333333333333,,0.0,0.0,0.0,0.0,166
2015-06-17,Inland Sea,0.5079365079365079,64.8,0.0,0.0,0.0,0.0,167
2015-06-18,Inland Sea,0.38095238095238093,62.75,0.0,0.0,0.0,0.0,168
2015-06-19,Inland Sea,0.38095238095238093,62.75,0.0,0.0,0.0,0.0,169
2015-06-20,Inland Sea,0.38095238095238093,62.75,0.0,0.0,0.0,0.0,170
2015-06-21,Inland Sea,0.5079365079365079,62.75,0.0,0.0,0.0,0.0,171
2015-06-22,Inland Sea,0.46428571428571425,64.03333333333333,0.0,0.0,0.0,0.0,172
2015-06-23,Inland Sea,0.46428571428571425,65.90833333333333,0.0,0.0,0.0,0.0,173
2015-06-24,Inland Sea,0.53125,67.22083333333333,0.0,0.0,0.0,0.0,174
2015-06-25,Inland Sea,0.6145833333333334,68.4125,0.0,0.0,0.0,0.0,175
2015-06-26,Inland Sea,0.6145833333333334,68.4125,0.0,0.0,0.0,0.0,176
2015-06-27,Inland Sea,0.4916666666666667,68.13,0.0,0.0,0.0,0.0,177
2015-06-28,Inland Sea,0.4916666666666667,68.13,0.0,0.0,0.0,0.0,178
2015-06-29,Inland Sea,0.425,67.00999999999999,0.0,0.0,0.0,0.0,179
2015-06-30,Inland Sea,0.41666666666666663,66.34619047619047,1.0,0.0,1.0,0.0,180
2015-07-01,Inland Sea,0.3694444444444444,66.49285714285715,1.0,1.0,1.0,0.0,181
2015-07-02,Inland Sea,0.3694444444444444,66.74940476190477,1.0,1.0,1.0,0.0,182
2015-07-03,Inland Sea,0.3694444444444444,66.74940476190477,1.0,1.0,1.0,0.0,183
2015-07-04,Inland Sea,0.4618055555555555,66.66587301587302,1.0,1.0,1.0,0.0,184
2015-07-05,Inland Sea,0.4618055555555555,66.66587301587302,1.0,1.0,1.0,0.0,185
2015-07-06,Inland Sea,0.5868055555555556,68.8436507936508,1.0,1.0,1.0,0.0,186
2015-07-07,Inland Sea,0.4305555555555555,69.72222222222221,0.0,1.0,1.0,0.0,187
2015-07-08,Inland Sea,0.48333333333333334,69.98492063492064,0.0,0.0,0.0,1.0,188
2015-07-09,Inland Sea,0.4625,70.0220238095238,0.0,0.0,0.0,1.0,189
2015-07-10,Inland Sea,0.4625,70.0220238095238,0.0,0.0,0.0,1.0,190
2015-07-11,Inland Sea,0.4625,70.0220238095238,0.0,0.0,0.0,1.0,191
2015-07-12,Inland Sea,0.37,70.0220238095238,0.0,0.0,0.0,1.0,192
2015-07-13,Inland Sea,0.37,71.76369047619048,0.0,0.0,0.0,1.0,193
2015-07-14,Inland Sea,0.47000000000000003,72.82619047619048,1.0,1.0,0.0,1.0,194
2015-07-15,Inland Sea,0.538888888888889,73.66547619047618,1.0,1.0,0.0,0.0,195
2015-07-16,Inland Sea,0.5888888888888889,74.84285714285714,1.0,1.0,0.0,0.0,196
2015-07-17,Inland Sea,0.6574074074074074,74.84285714285714,1.0,1.0,0.0,0.0,197
2015-07-18,Inland Sea,0.7063492063492064,74.84285714285714,1.0,1.0,0.0,0.0,198
2015-07-19,Inland Sea,0.8492063492063492,73.63214285714285,1.0,1.0,0.0,0.0,199
2015-07-20,Inland Sea,0.884920634920635,73.34047619047618,1.0,1.0,0.0,0.0,200
2015-07-21,Inland Sea,0.8992063492063492,73.12047619047618,1.0,0.0,0.0,0.0,201
2015-07-22,Inland Sea,0.807142857142857,73.08833333333332,0.0,1.0,0.0,0.0,202
2015-07-23,Inland Sea,0.8785714285714287,73.08833333333332,0.0,1.0,0.0,0.0,203
2015-07-24,Inland Sea,0.8071428571428572,73.08833333333332,0.0,1.0,0.0,0.0,204
2015-07-25,Inland Sea,0.6642857142857144,73.58399999999999,0.0,1.0,0.0,0.0,205
2015-07-26,Inland Sea,0.6083333333333334,74.47999999999999,0.0,1.0,0.0,0.0,206
2015-07-27,Inland Sea,0.65,74.89666666666666,0.0,1.0,0.0,0.0,207
2015-07-28,Inland Sea,0.6425925925925927,75.37380952380951,1.0,1.0,1.0,0.0,208
2015-07-29,Inland Sea,0.5568783068783069,75.95380952380953,1.0,1.0,1.0,0.0,209
2015-07-30,Inland Sea,0.47354497354497355,76.09638095238094,1.0,1.0,1.0,0.0,210
2015-07-31,Inland Sea,0.5568783068783069,76.09638095238094,1.0,1.0,1.0,0.0,211
2015-08-01,Inland Sea,0.5568783068783069,76.22880952380952,1.0,1.0,1.0,0.0,212
2015-08-02,Inland Sea,0.5568783068783069,76.22880952380952,1.0,1.0,1.0,0.0,213
2015-08-03,Inland Sea,0.5013227513227513,76.22880952380952,1.0,1.0,1.0,0.0,214
2015-08-04,Inland Sea,0.5198412698412699,76.52166666666668,1.0,1.0,1.0,0.0,215
2015-08-05,Inland Sea,0.5555555555555555,75.89166666666667,1.0,0.0,0.0,0.0,216
2015-08-06,Inland Sea,0.47222222222222215,75.55,1.0,0.0,0.0,0.0,217
2015-08-07,Inland Sea,0.47222222222222215,75.55,1.0,0.0,0.0,0.0,218
2015-08-08,Inland Sea,0.5277777777777778,75.20666666666666,1.0,1.0,0.0,0.0,219
2015-08-09,Inland Sea,0.4523809523809524,75.17222222222222,1.0,1.0,0.0,0.0,220
2015-08-10,Inland Sea,0.42857142857142855,75.17222222222222,1.0,1.0,0.0,0.0,221
2015-08-11,Inland Sea,0.4285714285714285,74.9,1.0,1.0,0.0,0.0,222
2015-08-12,Inland Sea,0.5,74.29444444444444,1.0,1.0,1.0,0.0,223
2015-08-13,Inland Sea,0.5,74.3611111111111,1.0,1.0,1.0,0.0,224
2015-08-14,Inland Sea,0.35714285714285715,73.92380952380952,1.0,1.0,1.0,0.0,225
2015-08-15,Inland Sea,0.3611111111111111,73.9388888888889,1.0,1.0,1.0,0.0,226
2015-08-16,Inland Sea,0.3611111111111111,74.27222222222223,1.0,1.0,1.0,0.0,227
2015-08-17,Inland Sea,0.27777777777777773,74.10555555555555,1.0,1.0,1.0,0.0,228
2015-08-18,Inland Sea,0.27777777777777773,74.1361111111111,0.0,1.0,1.0,0.0,229
2015-08-19,Inland Sea,0.1717171717171717,75.55119047619048,1.0,1.0,0.0,0.0,230
2015-08-20,Inland Sea,0.2967171717171717,75.97619047619048,1.0,1.0,0.0,0.0,231
2015-08-21,Inland Sea,0.3560606060606061,76.91142857142857,1.0,1.0,0.0,0.0,232
2015-08-22,Inland Sea,0.3560606060606061,76.91142857142857,1.0,1.0,0.0,0.0,233
2015-08-23,Inland Sea,0.45606060606060606,76.51142857142858,1.0,1.0,0.0,0.0,234
2015-08-24,Inland Sea,0.45606060606060606,76.31142857142858,1.0,1.0,0.0,0.0,235
2015-08-25,Inland Sea,0.5477272727272727,76.93392857142858,1.0,1.0,0.0,0.0,236
2015-08-26,Inland Sea,0.5607142857142857,76.6275,1.0,1.0,0.0,1.0,237
2015-08-27,Inland Sea,0.4392857142857142,76.5455,1.0,1.0,0.0,1.0,238
2015-08-28,Inland Sea,0.4392857142857142,76.5455,1.0,1.0,0.0,1.0,239
2015-08-29,Inland Sea,0.36607142857142855,76.5455,1.0,1.0,0.0,1.0,240
2015-08-30,Inland Sea,0.44940476190476186,76.931875,1.0,1.0,0.0,1.0,241
2015-08-31,Inland Sea,0.44940476190476186,77.181875,1.0,1.0,0.0,1.0,242
2015-09-01,Inland Sea,0.3619047619047619,76.59125,1.0,1.0,0.0,1.0,243
2015-09-02,Inland Sea,0.3238095238095238,76.57666666666665,1.0,1.0,1.0,0.0,244
2015-09-03,Inland Sea,0.3,76.43333333333334,1.0,1.0,1.0,0.0,245
2015-09-04,Inland Sea,0.5428571428571428,76.43333333333334,1.0,1.0,1.0,0.0,246
2015-09-05,Inland Sea,0.6857142857142857,76.34666666666666,1.0,1.0,1.0,0.0,247
2015-09-06,Inland Sea,0.6857142857142857,76.34666666666666,1.0,1.0,1.0,0.0,248
2015-09-07,Inland Sea,0.8285714285714285,76.93333333333334,1.0,1.0,1.0,0.0,249
2015-09-08,Inland Sea,0.9214285714285715,77.69999999999999,1.0,1.0,1.0,0.0,250
2015-09-09,Inland Sea,0.9107142857142857,78.09404761904761,1.0,1.0,1.0,0.0,251
2015-09-10,Inland Sea,1.0535714285714286,79.77738095238095,1.0,1.0,1.0,0.0,252
2015-09-11,Inland Sea,0.7678571428571429,79.30190476190477,1.0,1.0,1.0,0.0,253
2015-09-12,Inland Sea,0.7291666666666666,80.12738095238096,1.0,1.0,1.0,0.0,254
2015-09-13,Inland Sea,0.675,80.12738095238096,1.0,1.0,1.0,0.0,255
2015-09-14,Inland Sea,0.575,78.10190476190476,1.0,1.0,1.0,0.0,256
2015-09-15,Inland Sea,0.3916666666666667,76.4552380952381,1.0,1.0,1.0,0.0,257
2015-09-16,Inland Sea,0.5666666666666667,75.58666666666667,1.0,1.0,1.0,0.0,258
2015-09-17,Inland Sea,0.3666666666666667,73.68666666666668,1.0,1.0,1.0,0.0,259
2015-09-18,Inland Sea,0.45833333333333337,72.75833333333334,1.0,1.0,1.0,0.0,260
2015-09-19,Inland Sea,0.45833333333333337,72.75833333333334,1.0,1.0,1.0,0.0,261
2015-09-20,Inland Sea,0.5666666666666667,72.75833333333334,1.0,1.0,1.0,0.0,262
2015-09-21,Inland Sea,0.4666666666666667,72.25833333333333,1.0,1.0,1.0,0.0,263
2015-09-22,Inland Sea,0.6,72.65,1.0,1.0,1.0,0.0,264
2015-09-23,Inland Sea,0.5666666666666667,70.91,1.0,1.0,0.0,0.0,265
2015-09-24,Inland Sea,0.5666666666666668,69.11,1.0,1.0,0.0,0.0,266
2015-09-25,Inland Sea,0.5666666666666668,69.11,1.0,1.0,0.0,0.0,267
2015-09-26,Inland Sea,0.5666666666666668,69.11,1.0,1.0,0.0,0.0,268
2015-09-27,Inland Sea,0.4583333333333334,69.11,1.0,1.0,0.0,0.0,269
2015-09-28,Inland Sea,0.6111111111111113,69.48,1.0,1.0,0.0,0.0,270
2015-09-29,Inland Sea,0.6111111111111112,68.14666666666666,1.0,1.0,0.0,0.0,271
2015-09-30,Inland Sea,0.5,68.15,0.0,0.0,0.0,0.0,272
2015-10-01,Inland Sea,1.0,69.0,0.0,0.0,0.0,0.0,273
2015-10-02,Inland Sea,1.0,69.0,0.0,0.0,0.0,0.0,274
2015-10-03,Inland Sea,1.0,69.0,0.0,0.0,0.0,0.0,275
2015-10-04,Inland Sea,1.0,69.0,0.0,0.0,0.0,0.0,276
2015-10-05,Inland Sea,0.5,61.0,0.0,0.0,0.0,0.0,277
2015-10-06,Inland Sea,0.0,53.0,0.0,0.0,0.0,0.0,278
2015-10-07,Inland Sea,0.0,53.0,0.0,0.0,0.0,0.0,279
2015-10-08,Inland Sea,0.0,53.0,0.0,0.0,0.0,0.0,280
2015-10-09,Inland Sea,0.0,53.0,0.0,0.0,0.0,0.0,281
2015-10-10,Inland Sea,0.0,53.0,0.0,0.0,0.0,0.0,282
2015-10-11,Inland Sea,0.0,53.0,0.0,0.0,0.0,0.0,283
2015-10-12,Inland Sea,,,,,,,284
2015-10-13,Inland Sea,,,,,,,285
2015-10-14,Inland Sea,,,,,,,286
2015-10-15,Inland Sea,,,,,,,287
2015-10-16,Inland Sea,,,,,,,288
2015-10-17,Inland Sea,,,,,,,289
2015-10-18,Inland Sea,,,,,,,290
2015-10-19,Inland Sea,,,,,,,291
2015-10-20,Inland Sea,,,,,,,292
2015-10-21,Inland Sea,,,,,,,293
2015-10-22,Inland Sea,,,,,,,294
2015-10-23,Inland Sea,,,,,,,295
2015-10-24,Inland Sea,,,,,,,296
2015-10-25,Inland Sea,,,,,,,297
2015-10-26,Inland Sea,,,,,,,298
2015-10-27,Inland Sea,,,,,,,299
2015-10-28,Inland Sea,,,,,,,300
2015-10-29,Inland Sea,,,,,,,301
2015-10-30,Inland Sea,,,,,,,302
2015-10-31,Inland Sea,,,,,,,303
2015-11-01,Inland Sea,,,,,,,304
2015-11-02,Inland Sea,,,,,,,305
2015-11-03,Inland Sea,,,,,,,306
2015-11-04,Inland Sea,,,,,,,307
2015-11-05,Inland Sea,,,,,,,308
2015-11-06,Inland Sea,,,,,,,309
2015-11-07,Inland Sea,,,,,,,310
2015-11-08,Inland Sea,,,,,,,311
2015-11-09,Inland Sea,,,,,,,312
2015-11-10,Inland Sea,,,,,,,313
2015-11-11,Inland Sea,,,,,,,314
2015-11-12,Inland Sea,,,,,,,315
2015-11-13,Inland Sea,,,,,,,316
2015-11-14,Inland Sea,,,,,,,317
2015-11-15,Inland Sea,,,,,,,318
2015-11-16,Inland Sea,,,,,,,319
2015-11-17,Inland Sea,,,,,,,320
2015-11-18,Inland Sea,,,,,,,321
2015-11-19,Inland Sea,,,,,,,322
2015-11-20,Inland Sea,,,,,,,323
2015-11-21,Inland Sea,,,,,,,324
2015-11-22,Inland Sea,,,,,,,325
2015-11-23,Inland Sea,,,,,,,326
2015-11-24,Inland Sea,,,,,,,327
2015-11-25,Inland Sea,,,,,,,328
2015-11-26,Inland Sea,,,,,,,329
2015-11-27,Inland Sea,,,,,,,330
2015-11-28,Inland Sea,,,,,,,331
2015-11-29,Inland Sea,,,,,,,332
2015-11-30,Inland Sea,,,,,,,333
2015-12-01,Inland Sea,,,,,,,334
2015-12-02,Inland Sea,,,,,,,335
2015-12-03,Inland Sea,,,,,,,336
2015-12-04,Inland Sea,,,,,,,337
2015-12-05,Inland Sea,,,,,,,338
2015-12-06,Inland Sea,,,,,,,339
2015-12-07,Inland Sea,,,,,,,340
2015-12-08,Inland Sea,,,,,,,341
2015-12-09,Inland Sea,,,,,,,342
2015-12-10,Inland Sea,,,,,,,343
2015-12-11,Inland Sea,,,,,,,344
2015-12-12,Inland Sea,,,,,,,345
2015-12-13,Inland Sea,,,,,,,346
2015-12-14,Inland Sea,,,,,,,347
2015-12-15,Inland Sea,,,,,,,348
2015-12-16,Inland Sea,,,,,,,349
2015-12-17,Inland Sea,,,,,,,350
2015-12-18,Inland Sea,,,,,,,351
2015-12-19,Inland Sea,,,,,,,352
2015-12-20,Inland Sea,,,,,,,353
2015-12-21,Inland Sea,,,,,,,354
2015-12-22,Inland Sea,,,,,,,355
2015-12-23,Inland Sea,,,,,,,356
2015-12-24,Inland Sea,,,,,,,357
2015-12-25,Inland Sea,,,,,,,358
2015-12-26,Inland Sea,,,,,,,359
2015-12-27,Inland Sea,,,,,,,360
2015-12-28,Inland Sea,,,,,,,361
2015-12-29,Inland Sea,,,,,,,362
2015-12-30,Inland Sea,,,,,,,363
2015-12-31,Inland Sea,,,,,,,364
2016-01-01,Inland Sea,,,,,,,0
2016-01-02,Inland Sea,,,,,,,1
2016-01-03,Inland Sea,,,,,,,2
2016-01-04,Inland Sea,,,,,,,3
2016-01-05,Inland Sea,,,,,,,4
2016-01-06,Inland Sea,,,,,,,5
2016-01-07,Inland Sea,,,,,,,6
2016-01-08,Inland Sea,,,,,,,7
2016-01-09,Inland Sea,,,,,,,8
2016-01-10,Inland Sea,,,,,,,9
2016-01-11,Inland Sea,,,,,,,10
2016-01-12,Inland Sea,,,,,,,11
2016-01-13,Inland Sea,,,,,,,12
2016-01-14,Inland Sea,,,,,,,13
2016-01-15,Inland Sea,,,,,,,14
2016-01-16,Inland Sea,,,,,,,15
2016-01-17,Inland Sea,,,,,,,16
2016-01-18,Inland Sea,,,,,,,17
2016-01-19,Inland Sea,,,,,,,18
2016-01-20,Inland Sea,,,,,,,19
2016-01-21,Inland Sea,,,,,,,20
2016-01-22,Inland Sea,,,,,,,21
2016-01-23,Inland Sea,,,,,,,22
2016-01-24,Inland Sea,,,,,,,23
2016-01-25,Inland Sea,,,,,,,24
2016-01-26,Inland Sea,,,,,,,25
2016-01-27,Inland Sea,,,,,,,26
2016-01-28,Inland Sea,,,,,,,27
2016-01-29,Inland Sea,,,,,,,28
2016-01-30,Inland Sea,,,,,,,29
2016-01-31,Inland Sea,,,,,,,30
2016-02-01,Inland Sea,,,,,,,31
2016-02-02,Inland Sea,,,,,,,32
2016-02-03,Inland Sea,,,,,,,33
2016-02-04,Inland Sea,,,,,,,34
2016-02-05,Inland Sea,,,,,,,35
2016-02-06,Inland Sea,,,,,,,36
2016-02-07,Inland Sea,,,,,,,37
2016-02-08,Inland Sea,,,,,,,38
2016-02-09,Inland Sea,,,,,,,39
2016-02-10,Inland Sea,,,,,,,40
2016-02-11,Inland Sea,,,,,,,41
2016-02-12,Inland Sea,,,,,,,42
2016-02-13,Inland Sea,,,,,,,43
2016-02-14,Inland Sea,,,,,,,44
2016-02-15,Inland Sea,,,,,,,45
2016-02-16,Inland Sea,,,,,,,46
2016-02-17,Inland Sea,,,,,,,47
2016-02-18,Inland Sea,,,,,,,48
2016-02-19,Inland Sea,,,,,,,49
2016-02-20,Inland Sea,,,,,,,50
2016-02-21,Inland Sea,,,,,,,51
2016-02-22,Inland Sea,,,,,,,52
2016-02-23,Inland Sea,,,,,,,53
2016-02-24,Inland Sea,,,,,,,54
2016-02-25,Inland Sea,,,,,,,55
2016-02-26,Inland Sea,,,,,,,56
2016-02-27,Inland Sea,,,,,,,57
2016-02-28,Inland Sea,,,,,,,58
2016-02-29,Inland Sea,,,,,,,59
2016-03-01,Inland Sea,,,,,,,60
2016-03-02,Inland Sea,,,,,,,61
2016-03-03,Inland Sea,,,,,,,62
2016-03-04,Inland Sea,,,,,,,63
2016-03-05,Inland Sea,,,,,,,64
2016-03-06,Inland Sea,,,,,,,65
2016-03-07,Inland Sea,,,,,,,66
2016-03-08,Inland Sea,,,,,,,67
2016-03-09,Inland Sea,,,,,,,68
2016-03-10,Inland Sea,,,,,,,69
2016-03-11,Inland Sea,,,,,,,70
2016-03-12,Inland Sea,,,,,,,71
2016-03-13,Inland Sea,,,,,,,72
2016-03-14,Inland Sea,,,,,,,73
2016-03-15,Inland Sea,,,,,,,74
2016-03-16,Inland Sea,,,,,,,75
2016-03-17,Inland Sea,,,,,,,76
2016-03-18,Inland Sea,,,,,,,77
2016-03-19,Inland Sea,,,,,,,78
2016-03-20,Inland Sea,,,,,,,79
2016-03-21,Inland Sea,,,,,,,80
2016-03-22,Inland Sea,,,,,,,81
2016-03-23,Inland Sea,,,,,,,82
2016-03-24,Inland Sea,,,,,,,83
2016-03-25,Inland Sea,,,,,,,84
2016-03-26,Inland Sea,,,,,,,85
2016-03-27,Inland Sea,,,,,,,86
2016-03-28,Inland Sea,,,,,,,87
2016-03-29,Inland Sea,,,,,,,88
2016-03-30,Inland Sea,,,,,,,89
2016-03-31,Inland Sea,,,,,,,90
2016-04-01,Inland Sea,,,,,,,91
2016-04-02,Inland Sea,,,,,,,92
2016-04-03,Inland Sea,,,,,,,93
2016-04-04,Inland Sea,,,,,,,94
2016-04-05,Inland Sea,,,,,,,95
2016-04-06,Inland Sea,,,,,,,96
2016-04-07,Inland Sea,,,,,,,97
2016-04-08,Inland Sea,,,,,,,98
2016-04-09,Inland Sea,,,,,,,99
2016-04-10,Inland Sea,,,,,,,100
2016-04-11,Inland Sea,,,,,,,101
2016-04-12,Inland Sea,,,,,,,102
2016-04-13,Inland Sea,,,,,,,103
2016-04-14,Inland Sea,,,,,,,104
2016-04-15,Inland Sea,,,,,,,105
2016-04-16,Inland Sea,,,,,,,106
2016-04-17,Inland Sea,,,,,,,107
2016-04-18,Inland Sea,,,,,,,108
2016-04-19,Inland Sea,,,,,,,109
2016-04-20,Inland Sea,,,,,,,110
2016-04-21,Inland Sea,,,,,,,111
2016-04-22,Inland Sea,,,,,,,112
2016-04-23,Inland Sea,,,,,,,113
2016-04-24,Inland Sea,,,,,,,114
2016-04-25,Inland Sea,,,,,,,115
2016-04-26,Inland Sea,,,,,,,116
2016-04-27,Inland Sea,,,,,,,117
2016-04-28,Inland Sea,,,,,,,118
2016-04-29,Inland Sea,,,,,,,119
2016-04-30,Inland Sea,,,,,,,120
2016-05-01,Inland Sea,,,,,,,121
