Report Date,Report Time,Waterbody,Region,Municipality,Site,Station,Bloom Intensity,ApproximateShoreLengthOfBloom,ApproximateOffShoreLengthBloom,Report Frequency,Affiliation,Web Status,Details,Water Temperature,Water Surface,CyanoTaxa,Density,OtherTaxa,Plankton_Sampling_Method,Microcystin,Anatoxin,CYN_uGL,Latitude,Longitude
7/22/2022,10:30 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9,LTM 09,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,73,Calm,Aphanizomenon flos-aquae;Dolichospermum crassum var. spiroides;Dolichospermum sp;Dolichospermum planctonicum;Limnotrhix,172.8621638,,net,,,,44.24217563,-73.32916809
8/19/2022,11:00 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9,LTM 09,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,74,Rolling,,,,,,,,44.24217563,-73.32916809
10/6/2022,11:00 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9,LTM 09,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,68,Calm,,,,,,,,44.24217563,-73.32916809
6/20/2022,1:57 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Calm,,,,,,,,44.69014988,-73.28772989
6/27/2022,2:10 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Calm,,,,,,,,44.69075943,-73.28745831
7/4/2022,12:59 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Calm,,,,,,,,44.69047944,-73.28837753
7/11/2022,12:59 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Rolling,,,,,,,,44.69088595,-73.28784299
7/18/2022,1:48 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Rolling,,,,,,,,44.6908481,-73.28766585
7/25/2022,1:42 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Calm,,,,,,,,44.69068002,-73.28842234
8/1/2022,2:50 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,75,Rolling,,,,,,,,44.69109952,-73.28977418
8/8/2022,2:27 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Rolling,,,,,,,,44.69058623,-73.28762304
8/15/2022,12:48 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Calm,,,,,,,,44.69064693,-73.28775894
8/22/2022,1:33 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Rolling,,,,,,,,44.69043082,-73.28856182
8/29/2022,12:52 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Rolling,,,,,,,,44.69072828,-73.28800928
9/5/2022,2:25 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Weekly,VT State Parks,Generally Safe,,67,Rolling,,,,,,,,44.69087833,-73.2891519
9/12/2022,10:00 AM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,73,Calm,,,,,,,,44.6908185,-73.28895321
9/19/2022,2:45 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,Rolling,,,,,,,,44.68602969,-73.28912508
9/26/2022,12:30 PM,Lake Champlain,Champlain - Inland Sea,Grand Isle,11,Grand Isle State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,62,Rolling,,,,,,,,44.69056112,-73.28892459
7/3/2022,2:21 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,71,Calm,,,,,,,,44.24031049,-73.29873518
7/12/2022,,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,,none,0,,ww,<0.16,<0.5,,44.24031049,-73.29873518
7/17/2022,12:11 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1d - Little Cyano Observed - recreation not impaired (include photos),5ft,2-3ft,Supplemental,VT State Parks,Generally Safe,tiny specks present but no streaks or patches,72,Calm,,,,,,,,44.24031049,-73.29872445
7/18/2022,11:29 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,Had algae particles in the water and low level alert blooms yesterday,71,Calm,Dolichospermum sp;Snowella Sp.,0,,ww,<0.16,<0.5,,44.24031049,-73.29872445
7/25/2022,10:50 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,71,Calm,none,0,,ww,<0.16,<0.5,,44.24031049,-73.29873518
8/1/2022,,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,,none,0,,ww,not tested,<0.5,,44.24031049,-73.29873518
8/1/2022,10:53 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,71,Calm,,,,,,,,44.24031049,-73.29873518
8/8/2022,11:44 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,76,Rolling,none,0,,ww,<0.16,<0.5,,44.24031049,-73.29873518
8/14/2022,12:00 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,73,Calm,none,0,,ww,<0.16,<0.5,,44.24031049,-73.29873518
8/22/2022,10:45 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,72,Calm,Dolichospermum sp,0,,ww,<0.16,<0.5,,44.24031049,-73.29873518
8/29/2022,10:30 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,71,Rolling,Dolichospermum planctonicum,3278.061224,,ww,<0.16,<0.5,,44.24031049,-73.29873518
9/5/2022,,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,,,none,0,,ww,<0.16,<0.5,,44.24031049,-73.29873518
9/12/2022,10:58 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,2 - Cyano present - less than bloom levels (include photos),5 ft,3ft,Routine - Weekly,VT State Parks,Low Alert,,72,Calm,Microcystis aeruginosa,1275.510204,,ww,<0.16,<0.5,,44.24031049,-73.29873518
9/13/2022,1:55 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Supplemental,VT State Parks,Generally Safe,,71,Calm,,,,ww,,,,44.24031049,-73.29873518
9/19/2022,10:35 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,15,Kingsland Bay State Park,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,VT State Parks,Generally Safe,,69,Calm,none,0,,ww,0.18,<0.5,,44.24031049,-73.29873518
7/14/2022,9:30 AM,Lake Champlain,Champlain - Main Lake Central,Shelburne,16,LTM 16,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,70,Rolling,Aphanizomenon flos-aquae;Dolichospermum sp;Dolichospermum crassum var. spiroides;Pseudanabaena;Limnotrhix,39.55906671,,net,,,,44.42500901,-73.2320014
7/27/2022,10:50 AM,Lake Champlain,Champlain - Main Lake Central,Shelburne,16,LTM 16,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,74,White Caps,Aphanizomenon flos-aquae;Dolichospermum sp;Dolichospermum crassum var. spiroides;Dolichospermum planctonicum;Microcystis weisenbergii;Microcystis aeruginosa,106.5690357,,net,,,,44.42500901,-73.2320014
8/30/2022,11:00 AM,Lake Champlain,Champlain - Main Lake Central,Shelburne,16,LTM 16,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,75,White Caps,,,,,,,,44.42500901,-73.2320014
9/12/2022,10:30 AM,Lake Champlain,Champlain - Main Lake Central,Shelburne,16,LTM 16,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,75,Calm,,,,,,,,44.42500901,-73.2320014
10/18/2022,10:20 AM,Lake Champlain,Champlain - Main Lake Central,Shelburne,16,LTM 16,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,58,Calm,,,,,,,,44.42500901,-73.2320014
6/24/2022,12:19 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,The water was clear with tiny fish swimming near shore. This is a regular weekly report from Friday since I was unable to report on my regular Tuesday.,,Calm,,,,,,,,44.25816833,-73.27784942
6/28/2022,11:15 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,"Clear water, tiny fish near shore",,Calm,,,,,,,,44.25866168,-73.27757381
7/8/2022,10:30 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,This is my delayed Tuesday report. I live near on Long Point and have neither seen nor heard of any cyano in the area all of this week.,,Calm,,,,,,,,44.2581285,-73.2776664
7/12/2022,2:00 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,"The little bay where I monitor was rolling (little wavelets), but just outside, the bigger bay (Town Farm Bay) had white caps.",,Rolling,,,,,,,,44.25798848,-73.27761095
7/19/2022,12:01 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,"On Suncay, hot and calm, we saw cyano Category 2 around Long Point, but I didn't have a chance to sample and report. Yesterday the breeze came up and it had cleared.",,Rolling,,,,,,,,44.25823437,-73.27752512
7/26/2022,2:50 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,couldn't be nicer,,Calm,,,,,,,,44.25833976,-73.27747043
8/4/2022,10:30 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,,,,44.25798848,-73.27743929
8/9/2022,10:50 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1c - No Cyanobacteria Observed - other material present,,,Routine - Weekly,LCC Volunteer,Generally Safe,The water was clear with a few floating weeds.,,White Caps,,,,,,,,44.25823437,-73.27752512
8/18/2022,12:10 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,Regular Tuesday report being done on Thursday.,,Calm,,,,,,,,44.25822154,-73.27787113
8/23/2022,1:45 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,,,,44.25830827,-73.27769868
8/31/2022,11:28 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Weekly,LCC Volunteer,Generally Safe,Big north wind churning up the water. Some turbidity but no cyano.,,White Caps,,,,,,,,44.25835731,-73.2777397
9/9/2022,1:20 PM,Lake Champlain,Champlain - Main Lake South,Ferrisburgh,18,Long Point,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,"I checked this location earlier in the day (11 am) and it was clear. Around noon I saw some dots and small streaks while kayaking in various parts of Town Farm Bay, but checking back (1:20 pm) the shoreline at site 18 was still clear.",,Calm,,,,,,,,44.25792701,-73.27765387
7/14/2022,10:34 AM,Lake Champlain,Champlain - Main Lake Central,South Burlington,19,LTM 19,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,70,Rolling,Aphanizomenon flos-aquae;Dolichospermum sp;Dolichospermum crassum var. spiroides;Pseudanabaena;Limnotrhix,195.6221162,,net,,,,44.47100902,-73.29900143
7/27/2022,9:20 AM,Lake Champlain,Champlain - Main Lake Central,South Burlington,19,LTM 19,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,74,White Caps,Aphanizomenon flos-aquae;Dolichospermum crassum var. spiroides;Dolichospermum sp;Dolichospermum planctonicum;Microcystis aeruginosa;Microcystis sp. (pico);Microcystis weisenbergii,216.6594927,,net,,,,44.47100902,-73.29900143
9/12/2022,11:00 AM,Lake Champlain,Champlain - Main Lake Central,South Burlington,19,LTM 19,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,75,Calm,,,,,,,,44.47100902,-73.29900143
10/18/2022,9:30 AM,Lake Champlain,Champlain - Main Lake Central,South Burlington,19,LTM 19,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,58,Rolling,,,,,,,,44.47100902,-73.29900143
7/14/2022,11:30 AM,Lake Champlain,Champlain - Main Lake Central,Burlington,21,LTM 21,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,70,Rolling,Aphanizomenon flos-aquae;Dolichospermum sp;Limnotrhix,14,,net,,,,44.47484233,-73.23166806
7/27/2022,11:30 AM,Lake Champlain,Champlain - Main Lake Central,Burlington,21,LTM 21,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,74,White Caps,Aphanizomenon flos-aquae;Dolichospermum crassum var. spiroides;Dolichospermum sp;Dolichospermum planctonicum;Microcystis aeruginosa;Microcystis sp. (pico);Microcystis weisenbergii,217,,net,,,,44.47484233,-73.23166806
8/23/2022,9:00 AM,Lake Champlain,Champlain - Main Lake Central,Burlington,21,LTM 21,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,75,Calm,,,,,,,,44.47484233,-73.23166806
9/12/2022,9:30 AM,Lake Champlain,Champlain - Main Lake Central,Burlington,21,LTM 21,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,75,Calm,,,,,,,,44.47484233,-73.23166806
10/18/2022,11:00 AM,Lake Champlain,Champlain - Main Lake Central,Burlington,21,LTM 21,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,58,Rolling,,,,,,,,44.47484233,-73.23166806
6/24/2022,4:00 PM,Lake Champlain,Champlain - Main Lake Central,Burlington,22,North Beach,1b - No Cyanobacteria Observed - brown or turbid water,N/A,N/A,Supplemental,LCC Staff,Generally Safe,,,Rolling,,,,,,,,44.4910674,-73.24037393
6/28/2022,1:05 PM,Lake Champlain,Champlain - Main Lake Central,Burlington,22,North Beach,1a - No Cyanobacteria Observed - clear water,NA,NA,Routine - Weekly,LCC Staff,Generally Safe,"Photos will not submit, no connectivity issues and photos have been converted to .jpeg from .heic, photo size is from 2-5MB",,Rolling,,,,,,,,44.4910674,-73.24037393
7/11/2022,11:00 AM,Lake Champlain,Champlain - Main Lake Central,Burlington,22,North Beach,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,Air temp: 64 degF; Strong SW wind,65,Rolling,none,0,,ww,<0.16,<0.5,,44.49113348,-73.24020652
